label	document
-1	인근 공영주차장은 차 대기가 쉽지 않더라구요
0	서울특별시 종로구 와룡동 창덕궁 나들이는궁궐전각만 보는 것과 후원까지 보는게 있어요
0	둘은 요금도 다르니원하는 코스로 고르시면 될 듯 합니다
0	일반 궁궐전각을 보는건 원이면 볼 수 있습니다
0	근정전 안이었던 듯 해요
1	길가에 꽃들도 이뻤지만소나무들이 정말 멋스럽습니다
1	분명 다들 비슷비슷한데구경하는 재미가 다 달라요 여기는 약방이 있는 곳인가 싶은 곳입니다
1	괜히 허준 생각나면서 옛날 의료원인가봐하면서 둘러보았습니다
1	걷다가 조금 힘들 때 쉬기 좋은 곳이었어요
1	근처에 벤치가 있어서그늘 있는 자리에서 잠시 쉬었습니다
1	어딘지 기억이 안나는데자개가 정말 예뻐서 홀리듯이 찍었습니다
1	주변을 돌아보니 데이트 온 연인들귀여운 아가들과 함께 온 가족분들 모두저마다 행복해보였습니다
1	또 예쁜 한복 입고 사진 찍는 분들도 계셨어요
1	종로 근처에서 어딜 구경하면 좋을까 싶을 때 다녀오면 좋은 곳입니다
-1	몇년 전 까지만 해도 학생들을 데리고 유적지 탐방이나 궁궐 나들이를 갔었는데 최근에는 그럴 일이 없어졌어요
-1	세월호 사건이후 단체로 체험 학습을 가는 일은 염려와 걱정이 되었고 올해는 코로나 여파로 꿈도 못 꾸는 일이 되어 버렸네요
0	하지만 체험은 직접 몸으로만 할 수 있는 것은 아니에요
0	책을 통해 간접적으로도 얼만든지 할 수 있지요 를 통해 간접적이긴 하지만 창덕궁을 샅샅이 훑어볼 수 있게 되었어요
1	에 나오는 창덕궁은 궁궐의 위엄을 읽지 않으면서도 편안히 쉴 수 있도록 아기자기하게 꾸며져 있어요
1	그리고 창덕궁은 임금과 왕실 가족의 따뜻한 집이자 나랏일을 보는 국가의 중심 역할을 해 주었어요
0	창덕궁은 서울 종로구 와룡동에 있는 궁으로 사적 제 호로 지정된 조선시대 궁궐이에요
0	궁궐을 관람하고 싶으신분은 일반관람과 특별 관람 중 본인이 편안한 대로 하시면 됩니다
0	먼저 궁궐을 돌아보는 것은 일반관람이며 안내원을 따라 후원을 둘러보는 것은 후원 특별 관람이에요
0	돈화문창덕궁 돈화문창덕궁에 들어가기 위해서는 보물 제 호인 돈화문을 거쳐야 해요
0	돈화문은 창덕궁으로 들어가는 정문이에요
0	매일 새벽 시가 되면 백성들의 평안을 기원하는 쇠북을 번이나 울리고 나쁜 기운이 궁으로 들어오는 것을 막아주는 개의 잡상도 있어요
0	진선문금천교를 지나 진선문이 나와요 왕이 조상의 제사를 지내기 위해 진선문 마당에서 왕의 행차가 출발해요
0	제례를 지내는 종묘로 행차하기 위해 만 명이 동원되었다고 해요
0	인정전창덕궁 인정전인정전은 창덕궁의 중심이 되는 건물이에요
0	인정전 앞마당을 조정이라고 하는데 이곳에서 새해나 동지 왕이 생일 외국 사신을 맞이할 때 잔치를 했어요
0	선정전왕이 나랏일을 하는 곳이에요
0	왕과 신화들이 모여 회의를 하고 전국에서 올라오는 문서를 읽고 받을 보냈던 곳이에요
0	낙선재창덕궁 낙선재세자 궁 옆에 있으며 왕실 가족들이 사는 공간이에요
0	조선의 마지막 왕이었던 순종과 순종의 왕비 영친왕과 부인이 남은 여생을 이곳에서 보냈어요
0	일월오봉도 일월오악도해와 달 다섯 개의 봉우리 솨나무와 폭포 그림이에요
