label	document
0	안녕하세요
0	꿈꾸는 모래시계 꿈모시입니다
0	오늘은 덕수궁으로다녀온 가을나들이 이야기 이어갈께요
1	덕수궁 돌담길로 보이는 단풍은 아름답기 그지 없었습니다
0	연이와의 데이트의 시작은이곳이먼저였는데요
0	덕수궁돌담길 아하바브라카 정동공원 고종의 길 덕수궁 정동전망대 순이였습니다
0	그 중 덕수궁을 먼저 포스팅 했고 아하바브라카는 다음에 포스팅 할예정이랍니다
0	덕수궁 돌담길을 지나 정동길에 이르면먼저 정동제일교회가 보입니다
0	길을 따가라면 경희궁과도 이어지고 중간에 갈림길로향하면정동공원으로 갈 수 있어요
0	유난히 파란 하늘 그래서 그런지흰 건물의구 러시아공사관이 더욱 독보입니다
0	그리고 이곳 공원에도단풍이 물들고 있었어요
0	붉은 단풍과 홀로 남아있는 전망대
0	그 모습은 멋스러우면서도 이곳의 역사로인해숙연해지고 마음이무거워지기도 합니다
0	정동공원 안쪽으로는 고종의 길이 있습니다
0	아관파천 당시 고종이 러시아 공사관으로 이어할 때 사용했던 길로 덕수궁 후문쪽과 이어지는데요
-1	사실볼거리는 없습니다
0	하지만 그 역사의 길에는 강아지풀이
0	어느 벽에 덩쿨이 물들고 있어요
0	우리의 역사의 한조각인 이 길을 걷는 것도 잊지마세요
0	고종의 길에서 나와 만나게 되는 바로 이곳 커다란 나무가 참 멋진데 드라마 도깨비에서 저승사자와도깨비가 처음만나게 되는 바로 그 곳이죠
0	저승사자의 직무실 사무실입니다
0	저승사자 매우 상스러운 갓을 썼군
0	바로 이곳입니다
1	형형색색의 단풍길
0	그 길을 걸어서 덕수궁으로 향했습니다
0	덕수궁에서 나와서 향한 곳은정동전망대입니다
0	서소문청사 층에 위치한 전망대인데요
0	건물로 들어가 검색대를 통과해 엘레베이트를 타면 됩니다
0	자연스럽게 들어가시면 되요
0	직원분이 어디가는지물어보시면 전망대 간다고 말씀드리면 된답니다
0	층에 오르면 다락카페가 있습니다
0	이곳이 전망대예요
0	전망대 내에 카페랍니다
0	내부는 이렇습니다
0	창가자리가 아닌 좌석도 개 정도 있었고창가앞으로 의자들이 쫙놓여있어요
0	사람 정말 많죠 언제나 사람이 많은 곳이라 직원분께 혹시 한가한 시간대가 있는지여쭤보니
-1	이곳은 언제나 사람이 많다고 해요
0	그만큼 인기가 많은 곳이랍니다
0	전망대 오픈시간과 카페 운영시간이 다릅니다
0	이곳에서 커피 한잔 하시려면 카페 시간에 맞춰서 가시면 된답니다
0	커피나 차 가격 정말 저렴하죠거기다 전망까지 최고이니 인기있는 이유가 있답니다
-1	처음에 올라갔을때는 자리가 아예 없었습니다
0	그래서 사진만 찍고 다른 카페를 가야겠다했는데창가자리는 아니지만 일어나는 분 발견 막 뛰어가서 자리를 잡았습니다
0	저는 꿀유자차를 연이는 망고요거트를 마셨어요
0	맛도 좋더라구요
0	그리고 좀 있다가 창가에 자리가 생겨서 자리 이동 후 덕수궁 구경하며 시간을 보냈습니다
0	정동전망대에서 바라본 덕수궁 뭐 이정도 진짜진짜 멋지죠한눈에 덕수궁이 들어옵니다
0	궁을 산책하는 것도 좋지만 이렇게내려다보는 것도 멋지네요
0	덕수궁의 공사현장도 눈에 들어오네요
0	공사는 올해까지 이어진다고 해요
0	전망대 창문마다 약간씩 보이는 각도가 다른데 어느 곳에서도 멋져요
0	시청까지 한눈에 날씨가 좋아서 저 멀리 경복궁도 보였답니다
0	덕수궁 돌담길
0	위에서 보니 더 멋지네요
0	정동전망대에서 보는 풍경은 정말 멋지지만사람이 워낙 많다보니 소란스럽기도 하고 또 창가에 앉아있음 사진을 찍기위해 사람들이 계속 왔다갔다 한답니다
0	물론 저도 사진을 찍기위해 그랬구요
0	아름다운 전망을 구경하고 잠시 머물긴 좋지만오랜 시간 앉아서 이런 저런 이야기할 분위기는 아니랍니다
0	하지만 풍경 하나는 최고 저는 눈 올때 다시가보려구요 진짜 이쁘겠죠 덕수궁 나들이 가신다면 정동전망대 꼭 들려보세요
0	우리 잇님들 지난 주말 어떻게 보내셨나요한주의 시작 월요일 남은 오후시간도 화이팅하세요 그리고 월이네요
0	년도 이제 두 달 남았어요
0	하루하루 더 소중하게 늘 행복하자구요 우리 서울 중구 소공동 전화
0	공휴일에 아이들과덕수궁 나들이를 다녀왔습니다
0	대한문 시 정각에 입장했습니다
0	공휴일이지만 아직은 이른 시간이라사람이 많지 않았어요
0	덕수궁 같은 궁은사람이 많아도붐비는 느낌은 안 들어서좋은 것 같아요
0	이날은 수문 교대식연습하는 모습도 볼 수 있었고다른 시간대에 직접 하는 모습도 볼 수 있었어요
0	저분들은 고정자세로 계시지만옆에서 기념사진 촬영 가능합니다
0	덕수궁 입장료입니다
0	내국인은만 세 만 세 성인만요금 원이고그 외 무료입장입니다
1	들어가자마자 고즈넉한 이 분위기 날씨도 좋아서 더 좋았던 날입니다
1	덕수궁 무료 설명 안내를꼭 이용해보시라고권해드리고 싶습니다
1	전혀 어렵지 않게 설명해주시고간결하면서 귀에 쏙쏙 들어오게설명해주세요
0	저희는 공휴일이라 시 타임으로들어오는 입구 바로 앞에서 시작하며다소 어렵게 진행하면중간에 빠질 생각이었으나아이까지 경청하게 되면서약 분간 끝까지 따라가며함께 하게 되었습니다
0	대한문의 위치가 원래는 약간 앞쪽에 위치했었는데변경된 이야기며덕수궁은 원래 경운궁으로고종이 강압에 의해 황제의 자리에서물러나 오랫동안 장수하시라는 의미의수 자가 들어가 경운궁 덕수궁이라고 불리게 된 이야기까지전반적인 덕수궁에 대해 듣고 안내에 따라 들어갑니다
1	덕수궁 내 그늘이 많아요
0	들어갈 땐 적은 편이었지만나올 땐 그늘에 앉아 쉬고 계신 분들도 참 많았어요
0	중화문을 지나면중화전이 나옵니다
0	중화전은 년에 지어질 당시에는중층으로 지었으나 년 화재 이후 년에 다시 지으면서 단층으로축소되었답니다
0	중화전 남쪽의 중화문을둘러싸고 사방에행각을 둘렀으나 일제 강점기 이후주변 행각과 전각들이 헐리고정원이 생기면서 현재와 같은 모습이 되었다고 하네요
0	바닥에 품계석 보이시지요동쪽에 있는 동반서쪽에 있는 서반이 합쳐져 양반전에 배웠었는데다시 듣고 아하 했네요
0	중화전에 있는 병풍 그림일월오악도어디서 본 것 같지요만 원짜리에 있는 그림이랍니다
0	정면이 석조전왼쪽이 국립현대미술관 덕수궁관입니다
0	국립 현대 미술관 덕수궁관에서는내가 사랑한 미술관근대의 걸작이 전시 중이었습니다
0	관람시간은 사진에 보시면잘 나와있어요
0	요일별로 차이가 있답니다
0	석조전석조전은 년대 공사를 시작해 년에 완성되었습니다
