label	document
1	덕수궁 돌담길로 보이는 단풍은 아름답기 그지 없었습니다
-1	사실볼거리는 없습니다
1	형형색색의 단풍길
-1	이곳은 언제나 사람이 많다고 해요
-1	처음에 올라갔을때는 자리가 아예 없었습니다
0	년도 이제 두 달 남았어요
0	하루하루 더 소중하게 늘 행복하자구요 우리 서울 중구 소공동 전화
0	공휴일에 아이들과덕수궁 나들이를 다녀왔습니다
0	대한문 시 정각에 입장했습니다
0	공휴일이지만 아직은 이른 시간이라사람이 많지 않았어요
0	덕수궁 같은 궁은사람이 많아도붐비는 느낌은 안 들어서좋은 것 같아요
0	이날은 수문 교대식연습하는 모습도 볼 수 있었고다른 시간대에 직접 하는 모습도 볼 수 있었어요
0	저분들은 고정자세로 계시지만옆에서 기념사진 촬영 가능합니다
0	덕수궁 입장료입니다
1	들어가자마자 고즈넉한 이 분위기 날씨도 좋아서 더 좋았던 날입니다
1	덕수궁 무료 설명 안내를꼭 이용해보시라고권해드리고 싶습니다
1	전혀 어렵지 않게 설명해주시고간결하면서 귀에 쏙쏙 들어오게설명해주세요
1	덕수궁 내 그늘이 많아요
0	중화문을 지나면중화전이 나옵니다
0	정면이 석조전왼쪽이 국립현대미술관 덕수궁관입니다
0	국립 현대 미술관 덕수궁관에서는내가 사랑한 미술관근대의 걸작이 전시 중이었습니다
0	관람시간은 사진에 보시면잘 나와있어요
0	요일별로 차이가 있답니다
0	석조전석조전은 년대 공사를 시작해 년에 완성되었습니다
0	석조전에는 실제 여 점의 그 당시 가구 등이전시되어 있는데 여 점은실제 그시절 가구라고 하네요
0	석조전은 예약 관람하실 수 있어요
0	석조전 위쪽에 삼각 모양 안에 꽃문양이 있는데요무료 해설해주시는 분이 무슨 꽃일까요라고 문제를 내셨어요
0	오얏꽃이라고 합니다
0	오얏리
0	오얏꽃은 자두꽃이라고 하네요
0	장소를 옮겨 나란히 있는 준명당 즉조당 석어당으로향합니다
0	사진은 석어당의 모습인데요
0	석어당을 자세히 보시면위의 사진처럼 연청이 없습니다
0	덕홍전에 있는샹들리에 모습이에요
0	여기까지 설명을 듣고한 바퀴 둘러보았어요
1	무료 설명은 눈에 보이듯 설명해주셔서남편도 저도 큰아이도의미 있는 시간이었습니다
0	작은 아이는 역사는 아직 어려워했지만건축물의 특징은제법 이해하더라고요
0	석조전 앞으로뜰도 걸어봅니다
0	축소되었다고 합니다
1	아이들과 함께 의미 있는시간도 보내서더 좋은 시간이었던 것 같아요
1	특히나 큰아이는 책을 통해우리 역사에 대해알고 있는 부분이 많아서더 그랬던 것 같습니다
0	석어당 앞쪽과뒤쪽 후원을 돌아한 바퀴 돌아덕수궁 나들이를 마무리합니다
0	남자 셋이서 뭔가를열심히 보길래 가봤더니당시 시간이 이었는데바늘 그림자가 가리키는시간을 보세요
1	정말 신기하죠
0	이날 다른 곳을 갔다가밤에 덕수궁 돌담길을지나게 되었는데요
1	정말 아름답죠
0	저녁시간에도덕수궁에는 사람들의발길이 끓이질 않네요
0	덕수궁은 대중교통을이용해야 하실거에요
1	서울시청 광장 무대에선고궁 관람하는 동안 음악소리가 울려 퍼지더라고요
0	아마도 예고편으로 흥겨운 무대가 연출된듯해요
0	시간 기억했다가 한번 참여해보셔도 좋을 것 같아요
0	서울 중구 소공동 전화
1	한복 공모전 설명회 듣고 그냥 가기 아쉬워서 경복궁 들르려 했는데 화요일을 휴장이었다
0	세종대왕상 뒤로 보이는 광화문
0	세종문화회관 지나고이순신 장군상도 지나고 여기는 처음 와본거 같다
0	예전에 학교 예술강의였나 그때 봤던 조형물 실제로 보니까 신기했다
0	성공회 대성당도 한번 보고 싶었는데 지나가다 발견해서 너무 좋았다
0	옛날 건물이라는데 진짜 그시대 느낌이 나서 사진을 찍어두었다 영국대사관이랑 붙어있다
0	시청까지 쭉 지나면요렇게 대한문이 나온다
-1	다시 보니까 너무 아름다웠던 경운궁중화전도 멋있었는데 미세먼지가 너무 심해서 조금 아쉬웠다
0	애석하게도 미술관은 휴관이었다
0	월 일까지 공사라는데 어떻게 그 사이에 딱 간건지 그래도 봄에 딱 맞게 와서 꽃이 너무 예쁘게 피어있었다
0	덕수궁에서 젤루 좋아하는 이층건물 석어당뒤편이 이렇게 생긴줄도 몰랐다
1	담도 너무 예쁘다
1	철쭉도 피어있고모란꽃은 자수랑 그림으로만 보다가 실물은 처음 봤는데 너무 아름다웠다
0	덕수궁도 잘 복원되었음 좋겠다
0	아직 경희궁에 한번도 못가봐서 기회되면 경희궁도 가보고 싶다
0	서울특별시 중구 세종대로 덕수궁
0	정말 오랜만에 가족들과 덕수궁에 가봤다
0	생각해보니 아이랑 놀이동산 쇼핑시설 영화관은 가봤는데 제일 중요한 궁전을이제서야 가게 되었다
0	교통은 대중교통으로 가는게 복잡하지 않고 좋지 않을까 생각된다
0	지하철 출구랑 덕수궁이 연결되어있으니 초역세권으로 보고 방문하면 된다
0	추운날씨에도 불구하고 생각보다 사람들이 많았다
-1	외국인들도 많았고 사진찍는 인파들도 상당했다
0	여기는 메인인 중화전 앞이다
0	중화전안에 살펴보면 임금님이 계셨던 자리가 보인다
0	당연한 얘기지만 안에 들어가지는 못하고 사진만 촬영가능하다
0	안에는 주말을 맞이해서 사람들이 분주하게 다니는 모습을 볼수있다
0	안에 입장료는 어른은 원 학생은 무료이다
1	생각보다 면제조건이 많으니 확인하고 가심 좋을듯하다
0	석어당의 뒤에 있는 준명당
0	함녕전이 지어지기 전까지 고종의 침전으로 사용되다가 이후 덕혜옹주의 유치원으로 사용된 건물이다
0	늦은 오후라 사진이 음침하게 나온 중화전
0	내가 덕수궁에서 가장 좋아하는 건물은 단청을 하지 않은 유일한 건물인 석어당의 뒤쪽
0	백골집의 모습을 하고 있는 석어당은 년 화재로 소실된 후 다시 중건된 건물이라고 한다
0	그런데 이곳은 선종도 기거했던 곳이라는데 중건되기 전 처음부터 이렇게 단청을 하지 않았나 잘 모르겠다
0	즉조당과 준명당은 복도로 연결이 되어있어 이렇게 찍으면 마치 한 건물과 같은 느낌이다
0	건물의 뒤쪽
1	화려한 단청이 예뻐서 찍은 사진
0	즉조당과 준명당을 연결한 복도이 담의 뒤쪽은 정관헌이다
0	정관헌에는 사람이 꽤 많아서 밖에서만 어슬렁댔다
0	안쪽 정사각형에 가까운 건물은 덕홍전이다
0	접견실로 쓰였던 곳
0	석어당 옆에 있는 고목에서 중화전을 찍으면 이런 사진이 나온다
0	개인적으로 좋아하는 포토 포인트
0	손이 뭔가 어색하지만 얼굴이 나온 건 블러를 해야 해서 귀찮다
0	우리가 석조전 특별관람을 예약한 건 시 분이었다
0	본래 심화 해설 시간이지만 대한제국 황제의 식탁이라는 특별전 준비 때문에 일반 해설로 변경되었다
0	덕분에 화려한 접견실을 보지 못하는 것은 조금 아쉬웠다
0	사진은 귀빈 대기실
0	여담이지만 복원 시 높이 매달린 거울의 덕을 많이 보았다고 한다
0	사진에 찍힌 거울에 비친 벽 장식이 많은 도움이 되었다고
0	자료가 남아있지 않은 방은 이런 식으로 사진 또는 전시물로 채워져 있다
0	가이드는 이곳에서 이론적인 설명 또는 역사 이야기를 설명해주신다
0	금빛으로 꾸며진 황제의 침실이다
0	황제의 침상은 황후의 침상 방향과 대칭으로 이루어져 있다
0	그에 반해 실내는 로벨의 설계로 우아하고 섬세한 로코코 양식으로 꾸며져 있다
0	황제의 서재 쪽에 있던 벽난로인 듯
0	황제의 서재
0	귀여운 회전 책장
0	서재의 문에서 바라본 황제의 침실
0	안타깝게도 고종은 석조전의 황제에 침실에 누워본 적이 없다고 한다
0	이곳에는 주로 영친왕이 한국에 왔을 때 기거했다고 전해진다
0	황후의 거실
0	황후의 침실
0	마찬가지로 명성황후가 아닌 이방자 여사가 한국에 기거했을 때 묵었던 곳이라고
0	곳곳에는 대한제국을 상징하는 오얏꽃이 새겨져있다
0	아마도 세안을 위한 주전자와 그릇이 화장대에 놓여 있는 듯
0	부를 상징하는 커다란 거울도 호화로워 보인다
0	중앙 화랑
0	화랑을 따라 그 시절 그 석조전의 모습들이 사진으로 장식되어 있고 곳곳에는 창문이 안을 환하게 밝힌다
