label	document
0	아담하게 지어져 있습니다
0	화사한꽃 속에서 하나가 되어 보고 싶어서 한적한 뜰 안에서 사람들을 피해 잠시 머물다 나옵니다
0	자두 꽃 향이 매화와 라일락을 섞어 놓은 듯 발길을 잡습니다
0	부용정부용지정조대왕의정열이 깃들어 있는곳규장각주합루그의 마음이 느껴지는듯 합니다
0	세종대왕과 그의 과학자들 장영실등대단한 우리나라 천재들께 감사해요
1	후원 화장실은 이곳에서만 사용가능하답니다
-1	그래도 셀카는폰카가 짱임여기는 숨은 명소매화나무 뒷편사람이 없어 한적하게 찍을 수 있었다
1	창덕궁 나들이 창덕궁 우리나라 임금님이 경복궁보다 더 오래 사용했다는 궁궐울 꼬맹이들에게 우리나라에도 임금님이 사셨던 궁궐을 보여 주기 위해서울 나들이 제 코스로 선택한 곳이다
0	너무 어렸을때는 이해하기 어렵고 지겨워 할 것 같아 아껴두었다
1	이제 초등 학년이니까 보여 주면 좋을 것 같아서 온 곳 엄마인 나도 이제야 와 본 곳 되시겠다
-1	반성모드 너무 늦게 와서 미얀 돈화문창덕궁 입구 들어서는 정문 웅장하구나 문 하나 넘었는데 딴 세상이닷 너무 멋진거 아니야 한 달만 늦었어도 구경하기 힘들 것 같다
1	날씨가 너무 더워 잉봄에 오길 정말 잘 했다
1	낙선재 쪽에서 바라보는 철쭉 유난히도 화려하고 이뿌게 피었다
1	여태 본 철쭉들 중엔 최고인 듯 앙부일구창덕궁은 년유네스코에 세계문화유산으로 지정된 곳이다
0	창덕궁은 비교적 원형 보존이 잘 되어 있는 궁궐이고유일의 궁궐정원인 후원과 함께해서 더 가치가 높다고 한다꼭 가보시길 추천
1	보니엄청나게 거대했다
0	호선방향으로 나가야한다 표지판을 따라 슝슝가면 창덕궁이 보인다
0	공사중이어서 조금 아쉬웠다
1	요기 한복입으신 분이 우리 가이드 언니 먼 옛날 무한도전에서 궁특집했을때 궁나들이 가고싶다고 가고싶다고 그러다가정말거의 년만에 갔다
0	어릴 때 매번 경복궁만 가다가 창덕궁은 처음이라 그런지 신선했다
0	아 비원이 그렇게 넓은 줄 모르고 난 힐 신고 갔었다가 정말 대 박 고생했다
1	네채의 정자와 전각이 있는데 어디서 보든 그 풍경이 다르다고 하여서한곳에서 여러 느낌을 느낄수 있는 공간입니다
0	마루가 이중의 모양으로 생긴 특이한 모양입니다
0	한복의아름다움을찾아서한복 입고 창덕궁나들이세계에 다양한 전통 의복들이 있지만그중 가장 빛나는 건 단연 우리 한복이라고 생각해요
1	자유로운 곡선들 그리고 고운 오방 색감들 세계인이 인정한 가장 아름다운전통 의복이라고 해도 과언이 아니에요
-1	이제 곧 추석이 다가오고 있는 만큼한복에 대한 포스팅을 하지 않을 수가 없네요
1	지금은 한복에 대한 관심이 많지만사실 고등학교 때 실제로 한복을 만들어보기전까지한복에 대해 잘 알지 못했고한복에 대한 관심도 크지 않았어요
0	하지만 한복을 만들어 나가면서 깨달은 한복의 아름다움그리고 한복 축제 서포터즈 활동을 하면서한복의 위대함도 깨닫게 되었지요
1	오랜만에 가족끼리 좋은 추억을 쌓고자선선한 날씨 한복 입고 궁나들이 에 나섰어요
0	굳이 자기 한복을 가지고 있지 않아도 돼요 요즘에는 한복을 대여해주는 곳이 많더라고요
1	저는 화려한 한복도 좋지만수수한 한복을 더욱 선호하는 편이거든요
-1	저희 가족이 방문한 곳은 창덕궁이날 한복 입고 궁 나들이를 하는 가족은저희밖에 없었기 때문에 많은 외국인들의주목을 받을 수 있었답니다
1	많은 외국인과 사진을 찍을 수 있던 날이었어요
1	저는 덕분에 한복도 알린 것 같아기분이 좋았어요
1	물론 스튜디오에서 한복 입고가족사진 찍는 것도 좋지만이렇게 궁에 나와따스한 햇볕을 받으며자연스럽게 사진을 담는 것도 너무 좋아요
1	가족뿐만 아니라 연인 친구와 함께 와도좋은 추억거리를 만들 수 있을 것 같아요
-1	이런 게 바로 일상 속에서 소확행 찾기 아닌가요
0	남는 건 사진이라고 열심히 사진 찍고 돌아다녔어요
-1	한복은 몸에 핏되지 않아 입었을 때 편해서오래오래 입고 걸어 다녀도 전혀 무리가 없답니다
